Subject,Type,Date,FOV,Connectivity mapping,,Notes,Learning,,,Notes,Usable?
,,,,Pre-training,Post-training,,Activity,Tuning,Time to Reward,,
BCI116,Inhibitory,01/05/26,1,Good,Good,,↗,↗,R > E,borderline learning?,
,,01/06/26,1,Good,Good,,↗↗↗,↗↗↗,R < E,great learning!,
,,01/07/26,1,Good,No resp?,"pre-offset = 0, post-offset?",~,↙,R ≈ E,"no obvious learning, pop activity goes down.",
,,01/08/26,1,Good,Ok,,↗↗,↗↗↗,R < E,good learning!,
,,01/14/26,1,Ok,No resp?,pre-stim noisy cell? post-offset?,↙↙,↗↗↗,R < E,borderline learning?,
,,01/16/26,2,Good,Ok,"pre-offset = 1, post-offset = 0. artifact?",↗,↗,R < E,"seems good learning, but CN activity & tuning weird",
,,01/20/26,2,Good,Good,,↗↗↗,↗↗↗,R < E,great learning!,
,,01/22/26,2,Weird ,Good,"pre: noisy, only a few neurons responded",↗↗↗,↗↗,R < E,great learning!,
,,01/26/26,3,No resp?,No resp?,no external triggering?,↗↗↗,↗↗↗,R < E,great learning!,
,,01/27/26,3,Good,Good,,↗↗↗,↗↗↗,R < E,great learning!,
,,01/28/26,3,Good,Good,,↗↗↗,↗↗↗,R < E,great learning!,
,,01/29/26,3,Good,Good,,↗↗↗,↗↗↗,R < E,great learning!,
,,01/30/26,4,Good,Good,"pre-offset = 2, post-offset = 0",↗↗↗,↗↗↗,R < E,great learning!,
,,02/01/26,4,Good,Good,pre: change floor to 5%centile instead of 1,↗↗↗,↗↗↗,R < E,great learning!,
,,02/03/26,5,Good,Good,,↗,↗↗↗,R < E,good learning!,
BCI111,Inhibitory,01/08/26,1,Good,No resp?,"pre-offset = 0, post?",↙↙,↙↙,R > E,no learning,
,,01/11/26,1,Good,Good,,↗↗↗,↗↗↗,R < E,great learning!,
,,01/14/26,1,Ok,No resp?,"pre-offset =0, post-offset?",↙,↗,R < E,borderline learning?,
,,01/19/26,1,Good,Good,"pre-offset = 0, post-offset = 1",↗↗↗,↗↗↗,R < E,great learning!,
,,01/20/26,1,Ok,Ok,weird artifact?,↗↗↗,↗↗↗,R < E,great learning!,
,,01/22/26,1,Good,Ok,pre: change floor to 5%centile,↗↗↗,↗↗,R < E,great learning!,
,,01/27/26,1,No resp?,No resp?,no external triggering?,↗↗↗,↗↗↗,R < E,great learning!,
,,01/28/26,1,Weird ,No resp?,bad FOV?,↗↗↗,↙↙,R < E,good learning?,
,,01/29/26,2,Weird ,Weird ,weird artifact + dist/resp,↗↗↗,↗↗↗,R < E,great learning!,
,,02/03/26,3,Good,Good,some noisy cells,↗↗↗,↗↗↗,R < E,great learning!,
BCI120,Pan,01/05/26,1,Good,Good,,↙↙,↗,R < E,borderline learning?,
,,01/06/26,1,Good,Good,,↙↙,↗,R ≈ E,borderline learning?,
,,01/07/26,1,Good,Good,"pre-offset = 1, post-offset = 0",↙↙,↗,R < E,borderline learning?,
,,01/13/26,2,Good,Good,,↗,↗↗↗,R < E,good learning!,
,,01/16/26,2,Good,Good,,↗,~,R < E,borderline learning? check tuning plot,
,,02/01/26,3,No resp?,Good,pre-offset? post-offset = 0,↗↗↗,~,R < E,good learning. check tuning plot,
BCI125,Inhibitory,02/04/26,1,Ok,Ok,weird response,↗↗,↗↗,R < E,good learning!,
,,02/05/26,,,,,,,,,
,,02/07/26,3,Good,Good,,↗↗,↙↙,R ≈ E,borderline learning? check tuning plot,
,,02/08/26,3,Good,Ok,,↗↗,↙,R < E,good learning?,
BCI124,Inhibitory,02/05/26,1,Good,Ok,noisy cells,↗↗↗,↗↗↗,R < E,great learning!,
,,02/07/26,2,Good,Good,,↗↗↗,↗↗↗,R < E,great learning!,
,,02/08/26,2,Good,Good,,↗↗↗,↗↗↗,R < E,great learning!,
BCI123,Inhibitory,02/04/26,1,Ok,Ok,dist/resp?,,,,learning - based on csv trace?,
,,02/05/26,2,Ok,Ok,dist/resp?,~,↗,R < E,borderline learning?,
