Complexity,Loss,Equation
1,0.9999999,"-3.9005063e-5"
2,0.99931943,"abs(Delta_HIT)"
3,0.99859726,"Delta_THR * -0.65832645"
4,0.9971108,"Delta_THR * sin(RPE)"
6,0.9958782,"(Delta_THR + abs(Delta_THR)) * RPE"
7,0.99577755,"(Delta_THR + abs(sin(Delta_THR))) * RPE"
8,0.99474794,"abs(Delta_THR) * (RPE + (-11.137308 * Delta_THR))"
9,0.9928754,"sin(abs(Delta_THR) * (RPE + (-11.137308 * Delta_THR)))"
10,0.9925419,"(Delta_HIT + abs(Delta_THR)) * ((Delta_THR * -11.137308) + RPE)"
11,0.990867,"sin(((Delta_THR * -15.588401) + RPE) * (Delta_HIT + abs(Delta_THR)))"
13,0.9903115,"sin(((Delta_THR * -15.588401) + RPE) * (Delta_HIT + abs(Delta_THR))) + Delta_HIT"
15,0.99029714,"sin((Delta_HIT + abs(Delta_THR)) * ((Delta_THR * (-15.588401 + -0.65518284)) + RPE)) + Delta_HIT"
23,0.9889557,"sin(((abs(Delta_THR) * (Delta_THR - (RPE - (cos(sin(RPE) + RPE) + Delta_THR)))) * -2.1088142) - Delta_THR) - (Delta_THR * 1.1069618)"
25,0.9888219,"sin(((abs(Delta_THR) * (Delta_THR - (RPE - (cos(RPE + sin(RPE + Delta_THR)) + Delta_THR)))) * -2.1088142) - Delta_THR) - (1.1069618 * Delta_THR)"
27,0.98880845,"sin((abs(Delta_THR) * ((Delta_THR - (RPE - (cos(cos(RPE + (Delta_THR - (1.1906416 - Delta_THR))) + RPE) + Delta_THR))) * -2.1088142)) - Delta_THR) - Delta_THR"
28,0.9886177,"sin((abs(Delta_THR) * ((Delta_THR - (RPE - (cos(sin(RPE) + (cos(1.1906416 - Delta_THR) + RPE)) + Delta_THR))) * -2.1088142)) - Delta_THR) - (Delta_THR * 1.1906416)"
29,0.98853713,"sin((((Delta_THR - (RPE - (cos((Delta_THR + cos(RPE + (Delta_THR - (1.1906416 - Delta_HIT)))) + RPE) + Delta_THR))) * abs(Delta_THR)) * -2.1088142) - Delta_THR) - Delta_THR"
30,0.98822576,"sin(((abs(Delta_THR) * (Delta_THR - (RPE - (cos(sin(RPE) + (cos(Delta_THR - (1.1906416 - Delta_THR)) + RPE)) + Delta_THR)))) * -2.1088142) - Delta_THR) - (Delta_THR * 1.1906416)"
