Complexity,Loss,Equation
1,0.9999999,"0.00014313184"
3,0.99859726,"Delta_THR * -0.66068494"
4,0.9983868,"sig(RPE + -4.4581566)"
5,0.9971472,"(RPE * 0.035199467) - Delta_THR"
6,0.99680436,"sig((-0.08842808 / RPE) + -21.535517)"
8,0.99579173,"sig((-0.08842808 / RPE) + -21.535517) - Delta_THR"
10,0.99347925,"(sig(RPE / (0.02223782 - Delta_THR)) * Delta_THR) / -0.1645411"
12,0.99051857,"((sig(-0.08649148 / (0.026291804 - Delta_THR)) * RPE) * 0.22258739) - Delta_THR"
14,0.98931074,"(sig(-0.09271767 / (0.026291804 - Delta_THR)) * ((RPE * 0.22565037) - Delta_THR)) - Delta_THR"
15,0.98922974,"(sig(-0.09271767 / (0.026291804 - Delta_THR)) * ((RPE * sig(-0.98586494)) - Delta_THR)) - Delta_THR"
16,0.98850894,"sig(-0.09271767 / (0.026291804 - Delta_THR)) * ((((RPE * 0.22258739) - Delta_THR) - Delta_THR) - Delta_THR)"
18,0.98824805,"(sig(-0.09271767 / (0.026291804 - Delta_THR)) * ((((RPE * 0.22258739) - Delta_THR) - Delta_THR) - Delta_THR)) * 1.0967371"
20,0.98609984,"sig((RPE / (Delta_THR + 0.013126238)) / (0.025145158 - Delta_THR)) * ((((RPE * 0.12605381) - Delta_THR) - Delta_THR) - 0.07563365)"
22,0.9847788,"sig(((RPE + 0.069624744) / (0.013126238 + Delta_THR)) / (0.025145158 - Delta_THR)) * ((((RPE * 0.12605381) - Delta_THR) - Delta_THR) - 0.06250741)"
24,0.9842579,"(sig(((RPE + 0.069624744) / (0.013126238 + Delta_THR)) / (0.025145158 - Delta_THR)) * ((((RPE * 0.12605381) - Delta_THR) - Delta_THR) - 0.06250741)) - Delta_HIT"
26,0.9837938,"(sig(((RPE + 0.069624744) / (0.013126238 + Delta_THR)) / (0.025145158 - Delta_THR)) * ((((RPE * 0.12605381) - Delta_THR) - Delta_THR) - (0.06250741 * 1.3651444))) - Delta_HIT"
28,0.98117983,"((sig(((RPE + 0.061560377) / (Delta_THR + 0.008369975)) / (0.02251845 - Delta_THR)) * (((RPE * 0.09698693) - Delta_THR) - 0.18552165)) - ((0.15897188 - Delta_THR) * -0.41989073)) - -0.036298446"
