Complexity,Loss,Equation
1,1.0,"0.00016885795"
2,0.99931943,"abs(Delta_HIT)"
3,0.99859726,"Delta_THR * -0.6555783"
4,0.9971108,"Delta_THR * sin(RPE)"
6,0.9958782,"RPE * (Delta_THR + abs(Delta_THR))"
7,0.99577755,"RPE * (Delta_THR + sin(abs(Delta_THR)))"
8,0.99419326,"(RPE - 1.2904363) * (Delta_THR + abs(Delta_THR))"
9,0.9940197,"(RPE - 1.2904363) * (Delta_THR + sin(abs(Delta_THR)))"
10,0.9938686,"((RPE - 1.2904363) * (Delta_THR + abs(Delta_THR))) - Delta_HIT"
11,0.9937378,"((RPE - 1.2904363) * (Delta_THR + sin(abs(Delta_THR)))) - Delta_HIT"
12,0.99351716,"sin(sin((RPE + -0.617081) * abs(Delta_THR))) - (Delta_THR * 2.489752)"
13,0.99244297,"sin(((RPE * abs(Delta_THR)) * ((Delta_THR / 0.2585957) + 1.13472)) - Delta_THR)"
14,0.992386,"sin(sin(RPE * (abs(Delta_THR / 0.620978) + Delta_HIT))) - (2.4139893 * Delta_THR)"
15,0.99154776,"sin(((RPE * abs(Delta_THR)) * ((0.095800996 + 1.6110663) + (Delta_THR / 0.17161481))) - Delta_THR)"
17,0.9900914,"sin(((RPE * (abs(Delta_THR / 0.61790615) + Delta_HIT)) * ((Delta_THR / 0.2391505) + 1.2045764)) - Delta_THR)"
20,0.9893549,"sin((((Delta_THR / 0.3581628) + 0.8560826) * (((Delta_HIT + abs(Delta_THR / 0.41421887)) * RPE) - Delta_THR)) - sin(Delta_THR))"
21,0.98928446,"sin(sin((Delta_HIT + sin(abs(Delta_THR / 0.27548212))) * (((Delta_THR / 0.38647538) + 0.80775857) * RPE)) - (Delta_THR * 2.2846334))"
22,0.9889453,"sin(((((Delta_HIT + (((Delta_THR / 0.30296648) + 1.151295) * abs(Delta_THR / 0.51058483))) * RPE) - Delta_THR) - sin(Delta_THR)) + Delta_HIT)"
24,0.9884874,"Delta_HIT + sin(sin((1.13472 + (Delta_THR / 0.30296648)) * ((Delta_HIT + abs(Delta_THR / 0.4539477)) * (RPE - 0.4539477))) - (Delta_THR * 2.7177258))"
25,0.9883762,"Delta_HIT + sin(sin(sin(((Delta_THR / 0.27228296) + 1.1312512) * ((abs(Delta_THR / 0.43018016) + Delta_HIT) * (RPE - 0.44886318))) - (Delta_THR * 2.7039328)))"
26,0.9882447,"sin(Delta_HIT + (((((Delta_THR / 0.31063867) + 1.006668) * (Delta_HIT + sin(abs(Delta_THR / 0.4371346)))) * (RPE - 0.3611403)) - sin(sin(Delta_THR * 2.4047341))))"
29,0.9880465,"sin((((0.8560826 + (Delta_THR / 0.3581628)) * (Delta_HIT + abs(Delta_THR / -0.38439453))) * (RPE - Delta_THR)) - ((Delta_THR * abs(sin(Delta_THR - (RPE / 0.7839766)))) + Delta_THR))"
30,0.9880454,"sin((((0.8560826 + (Delta_THR / 0.3581628)) * (Delta_HIT + abs(Delta_THR / -0.38439453))) * (RPE - sin(Delta_THR))) - ((Delta_THR * abs(sin(Delta_THR - (RPE / 0.7839766)))) + Delta_THR))"
