Complexity,Loss,Equation
1,0.9999999,"7.0035676e-5"
3,0.9988496,"-0.085080706 / RT"
4,0.9970788,"-0.44284374 / exp(RT)"
5,0.9963804,"(-0.18826474 / RT) / RT"
6,0.99485016,"(RT - 1.5077388) / exp(RT)"
8,0.9939766,"(RT - 1.5077388) / exp(RT + Delta_THR)"
9,0.99064094,"sin(sin((Delta_THR * RPE) * 0.93854517)) * Delta_THR"
10,0.9874244,"Delta_THR * (sin(Delta_THR * (RPE * 0.93854517)) * 0.57762617)"
16,0.9872835,"(Delta_THR * sin(abs(-0.8519914 * (Delta_THR * exp(sin(RPE)))))) * sin(sin(abs(RPE)))"
17,0.9858832,"Delta_THR * sin(sin((Delta_THR * (Delta_THR - (abs(RPE) * Delta_THR))) * abs(sin(sin(Delta_THR)))))"
18,0.98485,"sin(sin(sin((Delta_THR * abs(sin(sin(Delta_THR)))) * (Delta_THR - (abs(RPE) * Delta_THR))))) * Delta_THR"
19,0.9843654,"Delta_THR * sin(sin(sin(sin(((Delta_THR - (abs(RPE) * Delta_THR)) * Delta_THR) * abs(sin(sin(Delta_THR)))))))"
20,0.98415166,"Delta_THR * sin(sin(sin(sin(sin((Delta_THR * abs(sin(sin(Delta_THR)))) * (Delta_THR - (abs(RPE) * Delta_THR)))))))"
21,0.9834477,"Delta_THR * sin(sin(((Delta_THR * abs(sin(sin(Delta_THR)))) * ((Delta_THR + 0.4300205) - (abs(RPE) * Delta_THR))) + -5.788672))"
22,0.9822966,"sin(sin(sin((((Delta_THR + 0.46791637) - (Delta_THR * abs(RPE))) * (abs(sin(sin(Delta_THR))) * Delta_THR)) + -5.772048))) * Delta_THR"
23,0.9817573,"sin(sin(sin(sin((((Delta_THR + 0.492112) - (abs(RPE) * Delta_THR)) * (Delta_THR * sin(abs(sin(Delta_THR))))) + -5.763413)))) * Delta_THR"
24,0.9813432,"Delta_THR * sin(sin(sin(sin(((((Delta_THR + cos(RT)) - (abs(RPE) * Delta_THR)) * Delta_THR) * abs(sin(sin(Delta_THR)))) + -5.761257))))"
25,0.98118097,"sin(sin(sin(sin(sin((((Delta_THR + (cos(RT) - (abs(RPE) * Delta_THR))) * Delta_THR) * abs(sin(sin(Delta_THR)))) + -5.765454))))) * Delta_THR"
26,0.9811727,"Delta_THR * sin(sin(sin(sin(sin(sin((((Delta_THR + cos(RT)) - (abs(RPE) * Delta_THR)) * (Delta_THR * abs(sin(sin(Delta_THR))))) + 0.51398355))))))"
27,0.9789469,"sin(sin(sin((((((Delta_THR + 0.6721513) - (abs(RPE) * Delta_THR)) * Delta_THR) * abs(sin(sin(Delta_THR)))) + -5.5514956) + sin(sin(sin(RPE)))))) * Delta_THR"
28,0.978793,"sin(sin(sin(sin((((Delta_THR * sin(abs(sin(Delta_THR)))) * ((Delta_THR + 0.7113875) - (abs(RPE) * Delta_THR))) + -5.5427337) + sin(sin(sin(RPE))))))) * Delta_THR"
29,0.97852033,"sin(sin(sin(sin((((cos(cos(Delta_THR + (Delta_THR + 0.563328))) + (Delta_THR - (abs(RPE) * Delta_THR))) * Delta_THR) * abs(sin(sin(Delta_THR)))) + 0.7320835)))) * Delta_THR"
30,0.9783801,"sin(sin(sin(sin(sin((abs(sin(sin(Delta_THR))) * (((cos(cos((Delta_THR + Delta_THR) + 0.5677004)) + Delta_THR) - (Delta_THR * abs(RPE))) * Delta_THR)) + 0.73407614))))) * Delta_THR"
