Complexity,Loss,Equation
1,0.9999999,"6.9110094e-5"
3,0.9988496,"-0.08515083 / RT"
4,0.99719495,"Delta_HIT * sin(Delta_THR)"
5,0.9962949,"log(cos(0.6196734 / RT))"
6,0.9957368,"sin((Delta_HIT + 0.6369186) * Delta_THR)"
7,0.9938794,"sin((Delta_HIT + cos(RPE)) * Delta_THR)"
8,0.99257046,"sin(Delta_THR * sin(Delta_HIT + cos(RPE)))"
9,0.9900637,"sin((Delta_HIT + (0.53118265 * cos(RPE))) * Delta_THR)"
10,0.9880686,"(Delta_THR * 0.58932024) * cos((Delta_HIT * Delta_THR) + RPE)"
11,0.9869418,"Delta_THR * sin(0.53118265 / cos((Delta_THR * Delta_HIT) + RPE))"
15,0.9812119,"sin(Delta_THR * 1.3490393) * (sin((Delta_THR * RPE) * 1.3645653) / (HIT + 0.42011076))"
16,0.9806046,"sin(sin((Delta_THR * 1.3645653) * RPE)) * (sin(1.3490393 * Delta_THR) / (0.42011076 + HIT))"
17,0.97974753,"(sin(sin(sin((Delta_THR * RPE) * 1.3645653))) * sin(Delta_THR * 1.3490393)) / (HIT + 0.3347733)"
18,0.9767885,"(sin(sin(Delta_THR * (RPE * 1.3682075)) / 0.36484915) / (HIT + 0.4034871)) * sin(Delta_THR * 1.3343968)"
20,0.9744947,"(sin(sin(RPE * (Delta_THR * 1.3682075)) / (HIT + 0.36484915)) / (HIT + 0.4034871)) * sin(Delta_THR * 1.3343968)"
