Complexity,Loss,Equation
1,0.9999999,"-4.636495e-5"
3,0.9988496,"-0.085169435 / RT"
4,0.9953994,"tanh(RT) - 0.94810045"
7,0.99416584,"((-0.42875662 / RT) + 0.24866712) / RT"
10,0.9939237,"((HIT * tanh(RT + -1.2311766)) - 0.6954835) / 5.481364"
12,0.99378353,"tanh((RT * (RT * 0.08531885)) + -0.3119361) / (RT * RT)"
13,0.9926193,"tanh(((HIT * tanh((-1.24256 + RT) * 5.0958247)) - 0.69437414) / 5.0958247)"
14,0.9911035,"tanh(exp(Delta_THR * -2.4443939) / (Delta_HIT - (exp(RT) / (1.6455745 - RT))))"
16,0.9898423,"tanh(exp(-2.4349985 * Delta_THR) / (Delta_HIT - (exp(THR + RT) / (1.8642094 - RT))))"
17,0.98980373,"tanh(exp(Delta_THR * -2.4349985) / (exp(-0.30054387) - (exp(THR + RT) / (1.7916557 - RT))))"
18,0.9894912,"tanh(exp(Delta_THR * -2.4349985) / (Delta_HIT - (exp(THR + RT) / (1.7916557 - RT)))) / 0.88608813"
23,0.9878519,"((((-0.62520957 / ((Delta_THR + (RT + Delta_THR)) / -1.6300713)) + (HIT * (-0.07283294 / (THR + -0.13702631)))) * -0.23660739) / RT) / RT"
25,0.986827,"((-0.5809531 / (((RT + Delta_THR) + Delta_THR) / (-1.8100795 + THR))) + ((RT * -0.07283294) / (THR + -0.13702631))) * ((-0.23660739 / RT) / RT)"
29,0.9862909,"((-0.5809531 / ((RT + (Delta_THR + Delta_THR)) / (-1.8100795 + THR))) + (((HIT * -0.07283294) / (THR + -0.13702631)) / (1.0963706 / RT))) * ((-0.23660739 / RT) / RT)"
30,0.98626083,"((-0.5809531 / ((RT + (Delta_THR + Delta_THR)) / (-1.8100795 + THR))) + (((tanh(RT) * -0.07283294) / (THR + -0.13702631)) / (RT / RT))) * ((-0.23660739 / RT) / RT)"
