Complexity,Loss,Equation
1,0.9999999,"6.0433056e-5"
3,0.9988496,"-0.08512035 / RT"
4,0.9970788,"-0.4422079 / exp(RT)"
5,0.99626374,"log(cos(-0.5960901 / RT))"
6,0.99522287,"-2.0563776 * exp(RT / -0.444736)"
8,0.99432397,"exp(RT / -0.43380398) * (THR + -2.6556907)"
9,0.99429554,"log(abs(log(RT))) * exp(RT / -0.4479112)"
10,0.99342275,"sin((Delta_THR / 0.15796112) * ((Delta_THR - 0.7973665) * -0.25525331))"
11,0.9929621,"exp((THR + RT) / -0.5759651) * log(abs(log(RT)))"
12,0.98998517,"sin(sin((((THR - abs(Delta_THR)) * 0.32499856) * Delta_THR) * RT))"
13,0.9896459,"sin(((THR - abs(Delta_THR)) * 0.1625106) * (Delta_THR * (RT + RT)))"
17,0.98962605,"sin(abs(0.34524527 - THR)) * sin(((sin(RT) + (THR * Delta_THR)) + RT) * Delta_THR)"
19,0.9895135,"sin((sin(Delta_THR * (RT + (sin(RT) + (Delta_THR * THR)))) / 0.73027885) * abs(0.4741197 - THR))"
20,0.98947304,"sin(sin(abs(0.4741197 - THR) * (sin(((RT + sin(RT)) + (Delta_THR * THR)) * Delta_THR) / 0.73027885)))"
22,0.9889948,"abs(sin(THR / cos((RT * Delta_THR) * -0.033291575))) * sin(Delta_THR * (sin(RT) + ((THR * Delta_THR) + RT)))"
23,0.9869732,"sin(Delta_THR * ((RT + sin(RT)) + (Delta_THR * THR))) * sin(abs(THR / cos(Delta_THR * sin(Delta_THR * 2.0842376))))"
25,0.98570174,"sin(abs(THR / cos(sin(Delta_THR * 2.0842376) * Delta_THR)) - sin(Delta_THR)) * sin(Delta_THR * (sin(RT) + (RT + abs(Delta_THR))))"
27,0.98493826,"sin(Delta_THR * (sin(RT) + (RT + (Delta_THR * THR)))) * sin(abs(THR / cos(Delta_THR * abs(sin(Delta_THR * 2.0842376)))) - sin(Delta_THR))"
28,0.9841408,"(sin(Delta_THR * (sin(RT) + (RT + (Delta_THR * THR)))) / 0.8409138) * sin(abs(THR / cos(Delta_THR * sin(Delta_THR * 2.0842376))) - sin(Delta_THR))"
29,0.98400396,"(sin(Delta_THR * (sin(RT) + (RT + (Delta_THR * THR)))) * sin(abs(THR / cos(Delta_THR * abs(sin(Delta_THR * 2.0842376)))) - sin(Delta_THR))) / 0.7901709"
