Complexity,Loss,Equation
1,0.9999999,"0.00011095468"
3,0.9988496,"-0.08508723 / RT"
4,0.9970788,"-0.44211432 / exp(RT)"
5,0.99637884,"-0.18445788 / (RT * RT)"
6,0.9942739,"(RT + -1.7036679) / exp(RT)"
8,0.99330604,"(RT + -1.7247229) / exp(Delta_THR + RT)"
9,0.99222875,"((RT * -0.016250959) + 0.23849443) - (0.4384536 / RT)"
10,0.99192154,"(RT + -1.8301696) / exp(RT + (Delta_THR + THR))"
12,0.9916679,"(RT + (-1.7247229 / 0.97217256)) / exp((THR / 0.25699323) + RT)"
13,0.98979634,"((((Delta_THR - 0.5788282) / RT) + 0.3076843) / RT) / (THR + 0.9573563)"
20,0.98881733,"((Delta_THR - (0.6578594 / RT)) / RT) / ((RT / (0.6578594 / (THR + 1.0797976))) + (exp(Delta_THR) + THR))"
22,0.98858094,"((Delta_THR - ((0.6430906 / RT) / RT)) / RT) / ((RT / (0.6578594 / (THR + 1.0797976))) + (exp(Delta_THR) + THR))"
24,0.98840785,"((((Delta_THR - (0.58099794 / RT)) / RT) * 1.2223736) / (((RT / (0.6578594 / (THR + 1.0797976))) + exp(Delta_THR)) + THR)) + 0.021619864"
27,0.988143,"((Delta_THR - ((0.31614068 / RT) / RT)) / RT) / ((((((Delta_THR - 0.3476335) / RT) / RT) / (THR + 1.0612082)) + (THR + 1.8388375)) / 1.3574116)"
28,0.98768455,"(((Delta_THR - (0.37118468 / RT)) / RT) / ((THR * 0.90874064) + exp(((((Delta_THR - 0.33607584) / RT) / RT) / (THR + 1.0699558)) + 0.6454909))) + 0.032602295"
30,0.9876152,"(((Delta_THR - ((0.37118468 / RT) / 0.94667286)) / RT) / (exp(((((Delta_THR - 0.33607584) / RT) / RT) / (THR + 1.0699558)) + 0.6454909) + (THR * 0.90874064))) + 0.032602295"
