Complexity,Loss,Equation
1,0.9999999,"-3.9004575e-5"
3,0.9988496,"-0.085001975 / RT"
4,0.9970788,"-0.44267535 / exp(RT)"
5,0.99637884,"(-0.18458708 / RT) / RT"
6,0.99427384,"(RT + -1.7043264) / exp(RT)"
8,0.9933059,"(RT + -1.7221078) / exp(Delta_THR + RT)"
10,0.99005747,"log(RT * 0.45048445) / (RT * (Delta_THR + 3.6363237))"
13,0.98979723,"(log(RT) - 0.57077) / ((38.614258 * Delta_THR) + exp(RT * 0.7142241))"
14,0.98962915,"(log(RT) - 0.57076746) / abs((Delta_THR * 38.613834) + exp(RT * 0.71407247))"
18,0.98962516,"(log(RT) - 0.57077) / abs(((Delta_THR * 0.072964124) * (RPE + 528.7289)) + exp(RT * 0.7142241))"
21,0.9895999,"(log(RT) - 0.5711159) / (exp(RT * 0.7538595) + (((RPE + -0.34862906) * (exp(Delta_THR) * abs(Delta_THR))) * -11.454565))"
22,0.9895487,"((log(RT) - 0.57403034) / (exp(RT * 0.75603044) + ((RPE + -0.34670755) * ((Delta_THR * exp(Delta_THR)) * -11.451701)))) / 1.1073372"
23,0.9889648,"((log(RT) - 0.5711159) / (((RPE + -0.34862906) * (exp(Delta_THR) * (Delta_THR * -11.454565))) + exp(RT * 0.7538595))) / exp(Delta_THR)"
24,0.9887536,"((log(RT) - 0.5711467) / (exp(RT * 0.7558083) + ((exp(Delta_THR) * abs(Delta_THR)) * ((RPE + -0.349159) * -11.454388)))) / exp(Delta_THR)"
25,0.9884966,"((log(RT) - 0.5711159) / (exp(RT * 0.7538595) + ((RPE + -0.34862906) * (((exp(Delta_THR) + Delta_HIT) * Delta_THR) * -11.454565)))) / exp(Delta_THR)"
26,0.9884094,"((log(RT) - 0.5711159) / (exp(RT * 0.7538595) + (((RPE + -0.34862906) * abs((exp(Delta_THR) + Delta_HIT) * Delta_THR)) * -11.454565))) / exp(Delta_THR)"
