Complexity,Loss,Equation
1,0.9999999,"6.902504e-5"
3,0.9988496,"-0.085037395 / RT"
4,0.9970788,"-0.44160563 / exp(RT)"
5,0.99637896,"(-0.18447544 / RT) / RT"
6,0.9945296,"(-1.5733212 + RT) / exp(RT)"
7,0.99402016,"((-0.5024901 / RT) + 0.2871441) / RT"
9,0.99334306,"(((Delta_THR + -0.51876885) / RT) + 0.28471854) / RT"
10,0.99274457,"(((abs(Delta_THR) + -0.44537124) / RT) + 0.24989185) / RT"
12,0.9919469,"((-0.5407815 / RT) + abs(Delta_THR + 0.3012859)) / (RT + Delta_THR)"
14,0.99184155,"((-0.5407815 / RT) + (abs(Delta_THR * Delta_HIT) + 0.3012859)) / (RT + Delta_THR)"
15,0.99173933,"(0.30660495 / RT) + (((-6.7773285 / (Delta_THR + (Delta_THR + RT))) / RT) * 0.07988687)"
16,0.9916106,"abs(Delta_HIT * (RT / exp(abs(((RT * (Delta_THR - -1.3803766)) / 1.3177004) + 0.93570626))))"
17,0.98993814,"(-1.3552413 - (RT * Delta_HIT)) / exp(abs(((Delta_THR + RT) * (Delta_THR - -1.3552413)) + 1.3102201))"
19,0.9879392,"(-0.93247354 - (Delta_HIT * RT)) / exp(abs((((Delta_THR + RT) * (Delta_THR - -1.3552413)) + Delta_HIT) - Delta_THR))"
23,0.987738,"(-0.9936593 - (Delta_HIT * RT)) / exp(abs((((Delta_THR - -1.4019325) * RT) / 1.3110577) + ((-0.9936593 / RT) + (1.5977074 + Delta_HIT))))"
26,0.9875559,"((abs(0.104207925) - 1.3033215) - (Delta_HIT * RT)) / exp(abs(1.5977074 + ((((Delta_THR - -1.4019325) * (RT / 1.3110577)) + (-0.9936593 / RT)) + Delta_HIT)))"
