Complexity,Loss,Equation
1,0.9999999,"6.0418155e-5"
3,0.9988496,"-0.08507808 / RT"
4,0.9947786,"tanh(RT) - 0.97302103"
6,0.99461275,"0.8377813 - (0.8103865 / tanh(RT))"
7,0.99460983,"tanh(0.86380035 - (0.83605796 / tanh(RT)))"
8,0.9942329,"(tanh(RT) - 0.91765094) / (RT * 0.7207605)"
9,0.99415654,"tanh((tanh(RT) - 0.918875) / (RT * 0.67458445))"
10,0.9932356,"(0.2803814 - Delta_THR) * (tanh(RT - 2.0990603) / RT)"
11,0.9931852,"(0.2803814 - tanh(Delta_THR)) * (tanh(RT - 2.0990603) / RT)"
12,0.99152255,"tanh((0.57978153 - (0.9819586 / RT)) / ((Delta_THR + 1.6641356) * RT))"
17,0.9905415,"tanh(0.13964568 / (RT + (-1.2149947 / tanh(2.159062 / ((RT + -1.139317) / (-1.0212541 - Delta_THR))))))"
18,0.98994595,"tanh(tanh(0.13964568 / (RT + (-1.2149947 / tanh(2.159062 / ((RT + -1.139317) / (-1.0212541 - Delta_THR)))))))"
19,0.98989344,"tanh(tanh(tanh(0.13964568 / (RT + (-1.2149947 / tanh(2.159062 / ((RT + -1.139317) / (-1.0212541 - Delta_THR))))))))"
22,0.9887957,"RT * tanh(tanh((0.13951743 / (RT + (-1.2087044 / tanh(2.1630025 / ((RT + -1.1388042) / (-1.0460575 - Delta_THR)))))) / RT))"
23,0.9881589,"(RT * tanh((0.13951743 / (RT + (-1.2087044 / tanh(2.1630025 / ((RT + -1.1388042) / (-1.0460575 - Delta_THR)))))) / RT)) * 0.62575084"
