Complexity,Loss,Equation
1,0.9999999,"-3.903075e-5"
3,0.9996697,"Delta_THR * 0.06709755"
4,0.9991719,"Delta_HIT * tanh(Delta_THR)"
5,0.99885803,"abs(Delta_HIT * tanh(Delta_THR))"
6,0.9974807,"(Delta_HIT + 0.32204816) * tanh(Delta_THR)"
7,0.99621344,"(Delta_THR / 14.590084) / (1.0 - RPE)"
8,0.9952324,"abs((0.053730838 / (1.0026498 - RPE)) * Delta_THR)"
9,0.9943778,"(Delta_THR / -12.989561) / ((RPE - -13.416518) * -0.4022445)"
10,0.99247307,"(Delta_THR * tanh((Delta_THR + 1.9299841) - Delta_HIT)) * Delta_HIT"
12,0.9922417,"Delta_THR * (Delta_HIT * tanh((Delta_THR + 1.5835031) - (Delta_HIT * 1.4622521)))"
14,0.9913607,"(Delta_THR * (Delta_HIT + 0.18203726)) * ((2.209441 + (Delta_THR - Delta_HIT)) * tanh(0.78476685))"
21,0.9909294,"((Delta_HIT + Delta_HIT) + -1.149507) * ((((((Delta_THR * -0.6743037) + Delta_THR) * Delta_THR) + Delta_THR) * (-0.2816187 - Delta_HIT)) - -0.00990924)"
23,0.9907903,"(((-1.0261879 - Delta_HIT) * 0.6727643) - -1.3919144) * (((Delta_HIT + Delta_HIT) + 0.4901325) * ((((Delta_THR * -0.6794903) + Delta_THR) * Delta_THR) + Delta_THR))"
25,0.9899816,"tanh(Delta_THR * (Delta_HIT + 0.34094915)) * (((Delta_THR * ((Delta_THR + -0.10335691) * -0.078140885)) * 1.8351411) + abs((Delta_HIT + -1.2354828) - (Delta_THR * -0.09440185)))"
