Complexity,Loss,Equation
1,0.9999999,"-3.9016297e-5"
3,0.9988496,"-0.08508596 / RT"
4,0.9947786,"tanh(RT) - 0.97301716"
6,0.99347925,"-0.006606783 / abs(RT + -0.96519977)"
8,0.99337715,"(-0.006606783 / abs(RT + -0.96519977)) / RT"
9,0.99222875,"((-0.43856174 / RT) - -0.23847248) - (RT * 0.016248083)"
11,0.99214894,"(-0.36204356 / (RT * RT)) - ((0.0109946495 * RT) + -0.1263776)"
12,0.99208194,"tanh((-0.36204356 / (RT * RT)) - ((RT * 0.0109946495) + -0.1263776))"
13,0.9920484,"tanh(tanh((-0.36204356 / (RT * RT)) - ((RT * 0.0109946495) + -0.1263776)))"
14,0.9920344,"tanh((-0.49607933 / ((RT - -0.35360312) * RT)) - ((RT * 0.011883376) + -0.13953255))"
15,0.99202746,"tanh(tanh(((-0.4106367 / ((RT * RT) - -0.10111673)) - (RT * 0.01163845)) + 0.13495088))"
