Complexity,Loss,Equation
1,0.9999999,"-8.100271e-5"
3,0.9996697,"Delta_THR * 0.06681717"
4,0.9991719,"tanh(Delta_THR) * Delta_HIT"
5,0.99885803,"abs(Delta_HIT * tanh(Delta_THR))"
6,0.9974808,"(Delta_HIT + 0.32201555) * tanh(Delta_THR)"
7,0.9956789,"(Delta_HIT * 0.063365445) / (Delta_THR - -1.4832149)"
9,0.99557996,"((Delta_THR / (-0.89083546 - Delta_HIT)) - Delta_HIT) * -0.06980845"
10,0.9937583,"tanh(-0.16564399 / (Delta_THR - (Delta_HIT + -1.5331633))) * Delta_THR"
11,0.99310887,"abs(Delta_THR) * tanh(0.16862392 / (Delta_THR - (Delta_HIT + -1.5328298)))"
14,0.98578715,"Delta_THR * tanh(-1.7984545 / (((RPE - (Delta_THR * 3.457058)) * 1.9188672) + -2.5464182))"
16,0.9819132,"(Delta_THR + -1.4119942) * tanh(Delta_THR / ((((Delta_THR * 3.457058) - RPE) * Delta_THR) + -2.5464182))"
18,0.9792896,"tanh(Delta_THR / ((((Delta_THR * 3.3349545) - RPE) * (Delta_THR - Delta_HIT)) + -2.6060085)) * (Delta_THR + -1.4287698)"
20,0.978965,"tanh((Delta_THR / ((((Delta_THR * 3.3349545) - RPE) * (Delta_THR - Delta_HIT)) + -2.6060085)) / 1.193336) * (Delta_THR + -1.4287698)"
