Complexity,Loss,Equation
1,0.9999999,"6.9118796e-5"
3,0.9988496,"-0.0850532 / RT"
4,0.9947786,"tanh(RT) - 0.9730139"
6,0.9938329,"(tanh(RT) - 0.9563693) * HIT"
8,0.99290705,"((tanh(RT) - 0.87160325) * HIT) + -0.084619164"
10,0.9927087,"((0.8884854 - tanh(RT)) * (HIT * -1.2069191)) + -0.08446749"
11,0.99270844,"(tanh(HIT * (0.88831645 - tanh(RT))) * -1.2069622) + -0.08434861"
12,0.9907452,"tanh(((-0.037756506 / (1.4022795 - THR)) / RT) / (THR - -0.10345214))"
14,0.98820746,"tanh((((-0.037756506 / (1.4022795 - THR)) / RT) / (THR - -0.07224314)) - -0.04750333)"
16,0.9869034,"tanh((((-0.037756506 / (1.4022795 - THR)) / RT) / (THR - -0.10419906)) - -0.058445547) * HIT"
18,0.98686826,"(tanh((((-0.037756506 / (1.4022795 - THR)) / RT) / (THR - -0.10419906)) - -0.058445547) * HIT) * HIT"
