Complexity,Loss,Equation
1,1.0,"2.581618e-6"
3,0.9988496,"-0.085080914 / RT"
4,0.9947786,"tanh(RT) + -0.97302127"
6,0.9938329,"(tanh(RT) + -0.95636886) * HIT"
8,0.9936348,"HIT * ((tanh(RT) + -0.9586085) / 0.8221736)"
10,0.9924481,"(sin(RPE / RT) * -0.37480563) / (RT * RT)"
11,0.9923347,"(-0.37480563 / (RT * RT)) * sin(sin(RPE / RT))"
12,0.99119174,"(sin(RPE / RT) / RT) * ((-0.7527652 / RT) + 0.35448983)"
13,0.99069995,"(sin(abs(RPE) / RT) / RT) * ((-0.7527652 / RT) + 0.35448983)"
14,0.9901712,"((-0.67842805 / RT) + 0.29556787) * ((sin(RPE / RT) / RT) - -0.16628136)"
15,0.98963016,"(sin(RPE / RT) / RT) * ((-0.7132134 / RT) + abs(Delta_THR + 0.31097814))"
16,0.9883631,"((sin(RPE / RT) / RT) - (-0.3197939 * HIT)) * ((-0.7015791 / RT) + 0.31097814)"
17,0.9881179,"tanh(((sin(RPE / RT) / RT) - (-0.3197939 * HIT)) * ((-0.7015791 / RT) + 0.31097814))"
18,0.9875578,"((-0.7015791 / (Delta_THR + RT)) + 0.31097814) * ((sin(RPE / RT) / RT) - (-0.3197939 * HIT))"
19,0.9870424,"tanh(((sin(RPE / RT) / RT) - -0.2512432) * ((((-0.8145093 / RT) + Delta_THR) + 0.3588245) * HIT))"
20,0.98682654,"((-0.8760917 / (Delta_THR + RT)) + 0.35947502) * (((sin(RPE / RT) / RT) - -0.53020304) * (HIT + -0.40028328))"
