Complexity,Loss,Equation
1,0.9999999,"6.893554e-5"
3,0.9988496,"-0.08506846 / RT"
4,0.99719495,"sin(Delta_THR) * Delta_HIT"
5,0.99479395,"sin(tanh(RT) - -5.3100634)"
8,0.9941081,"sin(sin(tanh(RT) - -5.3100634)) * HIT"
10,0.9915239,"(sin(RPE - -1.6806625) * (Delta_HIT - -0.472634)) * Delta_THR"
11,0.99059284,"(tanh(Delta_HIT - -0.508169) * Delta_THR) * sin(RPE - -1.6949912)"
12,0.990425,"Delta_THR * tanh(sin(Delta_HIT - -0.5065498) * sin(RPE - -1.6859616))"
13,0.9899671,"Delta_THR * sin((tanh(Delta_THR - -2.9171803) * (Delta_HIT - -0.22791377)) * 2.1177535)"
14,0.98896444,"((Delta_HIT - -0.27733067) * Delta_THR) * ((tanh(Delta_THR - -2.9856591) - HIT) / 0.53865284)"
15,0.9885231,"Delta_THR * sin(tanh(Delta_HIT - -0.4571655) * tanh(sin(RPE - -1.6516868) * 2.6609492))"
16,0.9879344,"(Delta_THR * sin((Delta_HIT + 0.41461033) * Delta_THR)) * sin(tanh(THR) + (RPE + Delta_HIT))"
17,0.98631185,"(Delta_HIT + 0.4802722) * (Delta_THR * tanh((Delta_THR * sin(RPE + (THR + Delta_HIT))) + 0.65849066))"
