Complexity,Loss,Equation
1,0.9999999,"-4.635911e-5"
3,0.9988496,"-0.08513462 / RT"
4,0.99719495,"Delta_HIT * sin(Delta_THR)"
5,0.99637884,"(-0.18466026 / RT) / RT"
6,0.99182016,"Delta_THR * sin(RPE / 0.21244267)"
7,0.98684675,"Delta_THR * tanh(sin(RPE / 0.21244267))"
8,0.98550135,"tanh(tanh(sin(RPE / 0.21244267))) * Delta_THR"
9,0.985242,"Delta_THR * tanh(sin(tanh(sin(RPE / 0.21244267))))"
11,0.9849726,"(Delta_THR * -0.74829376) * tanh(sin(0.32398206 - (RPE / 0.21349895)))"
12,0.9811054,"tanh(tanh(sin((0.071599446 - RPE) / 0.21286184) * Delta_THR)) * Delta_THR"
13,0.9804612,"Delta_THR * (0.65019256 * tanh(Delta_THR * sin((0.071599446 - RPE) / 0.2128617)))"
14,0.9796218,"Delta_THR * tanh(tanh(sin((0.071599446 - RPE) / 0.21286184) * (RT * -0.16798928)))"
15,0.97710973,"(Delta_THR * -0.56286246) * tanh((Delta_THR / sin((0.14308456 - RPE) / 0.21468559)) * -0.47127324)"
17,0.9752868,"(tanh((sin(THR * ((0.07189336 - RPE) / 0.21302173)) * Delta_THR) * Delta_THR) * Delta_THR) * 0.60427773"
18,0.973611,"Delta_THR * ((sin(HIT) - tanh(Delta_THR)) * tanh(tanh(THR / sin((0.14314568 - RPE) / 0.21474868))))"
