Complexity,Loss,Equation
1,0.9999999,"6.915042e-5"
3,0.9988496,"-0.08507958 / RT"
4,0.99719495,"sin(Delta_THR) * Delta_HIT"
5,0.99637884,"(-0.18446735 / RT) / RT"
6,0.9944808,"sin((Delta_THR * Delta_HIT) / 0.0018801024)"
8,0.99341273,"sin(Delta_THR * ((Delta_THR / -0.6215954) + 1.3212357))"
9,0.99338585,"sin(sin(((Delta_THR / -0.6214482) + 1.3285898) * Delta_THR))"
10,0.99331385,"sin(((Delta_THR / -0.62188804) + 1.3239652) * Delta_THR) * 0.9191247"
11,0.9911708,"sin(sin(((Delta_HIT - Delta_THR) - THR) / -0.7449306) * Delta_THR)"
12,0.98985475,"sin(sin(sin(((Delta_HIT + Delta_THR) / 0.1702191) + -0.91514975)) * Delta_THR)"
13,0.9860807,"sin(Delta_THR * sin((Delta_THR / ((THR * Delta_HIT) + 0.16768353)) + -0.6483736))"
14,0.9851175,"sin(Delta_THR * sin(sin((Delta_THR / ((Delta_HIT * THR) + 0.16768353)) + -0.7054462)))"
15,0.98497194,"sin(Delta_THR * sin(sin(sin((Delta_THR / ((THR * Delta_HIT) + 0.16768353)) + -0.7054462))))"
16,0.98468727,"sin(Delta_THR * sin(sin((Delta_THR / ((Delta_HIT * THR) + 0.16768353)) + -0.7054462))) * 1.20652"
